Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Nano Tips for Developing Magnetic Charisma with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out why charisma is such a valuable skill and how you can develop your own charisma with ease, exploring key insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.<br><br>Gather strategies to build authentic charisma to start creating better first impressions and new connections today. Get tips on energizing others with charismatic presence and magnetic communication. Along the way, Shadé shows you techniques for using eye contact, pauses, presentation starts, tension-building tools, simplified language, genuine care, and more.",Course,2023-09-05 09:14 UTC,N/A,false,N/A,
Presentation Tips for Pitching to Investors,"Landing a meeting with investors is a big opportunity—and a key test of your business. Investors ask tough questions. The answers can define your future. This course is all about preparing and delivering a rock-solid pitch that makes people want to invest in your company. Learn how to define the unique benefits of your product, describe your business model, and tell the story of your “why.” Instructor Jessica Chen—a public speaking and media relations consultant—then introduces tips for the actual presentation, including responding to your audience, answering questions, and being authentic. She leaves you with a final pitch checklist that will ensure you have all the elements of your pitch nailed down before the big day.",Course,2021-12-03 10:06 UTC,N/A,false,N/A,
Practice Exam 3 for CompTIA CySA+ (CS0-003),"<p>This practice exam is intended to help you prepare for the <b>CompTIA CySA+ (CS0-003)</b> certification exam. After you launch the practice exam, there are three practice modes available; timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p>

<p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-1-for-comptia-cysa-plus-cs0-003/"" target=""_blank"">Practice Exam 1 for CompTIA CySA+ (CS0-003)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-2-for-comptia-cysa-plus-cs0-003"" target=""_blank"">Practice Exam 2 for CompTIA CySA+ (CS0-003)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-4-for-comptia-cysa-plus-cs0-003"" target=""_blank"">Practice Exam 4 for CompTIA CySA+ (CS0-003)</a></li>
</ul>
<p><b>About the certification</b>: To learn more about this certification, visit <a href=""https://www.comptia.org/certifications/cybersecurity-analyst"" target=""_blank""><b>CompTIA</b></a>.</p>

<p><i>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self-assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</i></p>",Course,2024-12-13 07:27 UTC,N/A,false,N/A,
"Advanced Java: Hands-on with Streams, Lambda Expressions, Collections, Generics and More","<p>Are you experienced in Java, but looking to get your skills to the next level? Join Maaike van Putten in this course and take your Java programming from good to great. Maaike covers a series of advanced Java topics, including streams and lambda expressions, collections and generics, and custom annotation. She also shows you how to deal with concurrency and work with the singleton design pattern. Join Maaike in this hands-on course, test what you’ve learned in a series of challenges, and compare your work to Maaike’s solutions.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-02-18 11:06 UTC,N/A,false,N/A,
Designing a Google Cloud Landing Zone,"A Google Cloud landing zone is a modular and scalable configuration that enables organizations to adopt Google Cloud for their business needs. A landing zone is often a prerequisite to deploying enterprise workloads in a cloud environment. Landing zone helps your enterprise deploy, use, and scale Google Cloud services more securely. In this course, Mayank Pandey covers the important design decisions while implementing the Google Cloud landing zone. Learn about different GCP features like identity provisioning, resource hierarchy, networking, security controls, and more.",Course,2024-10-29 09:41 UTC,N/A,false,N/A,
1 Person Crew Video Productions: Tips and Tricks,"Join Emmy Award-winning filmmaker Eduardo Angel as he shares field-tested tips and tricks for capturing rich stories and stunning visuals as a one-person crew. Eduardo highlights the advantages and disadvantages of working solo, sharing examples gleaned from his own experiences working around the globe. He provides tips for speeding up your editing workflow, getting the right gear, and tightening up your working routine to get the most out of every day. Plus, Eduardo offers suggestions for getting comfortable in front of the camera, finding fascinating subjects, and more",Course,2023-08-07 16:18 UTC,N/A,false,N/A,
Stepping Up Your Webcam Video Presence,"Nearly everyone has a webcam, but many people don’t put the effort into enhancing their webcam video presence. But with just a few relatively easy and inexpensive tweaks, you can capture well-composed, well-lit shots with great audio using the humble webcam. In this course, senior staff instructor Ashley Kennedy shows you how to represent your best self in meetings, as well as presentations, trainings, vlogs, interviews, demos, Q&As, and other types of web videos. Learn basic strategies for optimizing your system and your webcam, staging and lighting your shot, capturing high-quality audio, scripting and rehearsing for big-stakes webcam presentations, and more.",Course,2021-06-22 14:34 UTC,N/A,false,N/A,
Critical Thinking for Better Judgment and Decision-Making,"The pace of change and volume of information we encounter in daily life make it hard to think through decisions. Instead, people often rely on biases and rules of thumb, which trap them into drawing faulty conclusions. The most successful teams use critical thinking—objective and rational analysis—to illuminate the wisest conclusions. This course prepares leaders to hone the critical thinking skills of their entire organization. Learn how to upgrade critical thinking to avoid deceiving fallacies, spot misleading cognitive biases, craft better arguments, hone judgment, and improve decision-making. Instructor Becki Saltzman teaches skills that will improve how your company or team innovates, tackles challenges, and responds to change.",Course,2021-11-24 12:20 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2021-03-22 13:04 UTC,N/A,false,N/A,
Practice Exam 4 for Cisco Certified Network Associate (CCNA) v1.1 (200-301),"<p>This practice exam is intended to help you prepare for the <b>Cisco Certified Network Associate (CCNA) v1.1 </b> certification exam. After you launch the practice exam, there are three practice modes available; timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p>

<p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>

<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-1-for-cisco-certified-network-associate-ccna-200-301"" target=""_blank""> Practice Exam 1 for Cisco Certified Network Associate (CCNA)(200-301)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-2-for-cisco-certified-network-associate-ccna-200-301"" target=""_blank""> Practice Exam 2 for Cisco Certified Network Associate (CCNA)(200-301)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-3-for-cisco-certified-network-associate-ccna-200-301"" target=""_blank""> Practice Exam 3 for Cisco Certified Network Associate (CCNA)(200-301)</a></li>
</ul>

<p><b>About the certification</b>: To learn more about this certification, visit <a href=""https://www.cisco.com/c/en/us/training-events/training-certifications/certifications/associate/ccna.html"" target=""_blank""><b>Cisco Certified Network Associate (CCNA)</b></a>.</p>

<p>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</p>",Course,2024-10-21 20:10 UTC,N/A,false,N/A,
